first,last,team,year,games_played,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct
Tim,Hardaway,GSW,1992,66,39:31:00,7.91,17.7,1.55,4.68,4.14,5.56,0.91,3.08,3.98,10.59,1.76,0.18,3.33,2.3,21.5,0.447,0.33,0.744
Hakeem,Olajuwon,HOU,1992,82,39:32:00,10.34,19.55,0,0.1,5.41,6.95,3.45,9.57,13.02,3.55,1.83,4.17,3.2,3.72,26.1,0.529,0,0.779
Terry,Porter,POR,1992,81,35:35:00,6.21,13.68,1.77,4.26,4.04,4.79,0.72,3.19,3.9,5.17,1.25,0.12,2.46,1.51,18.22,0.454,0.414,0.843
Danny,Manning,LAC,1992,79,34:56:00,8.89,17.46,0.1,0.38,4.91,6.13,2.51,4.08,6.58,2.62,1.37,1.28,2.91,4.09,22.78,0.509,0.267,0.802
Sean,Elliott,SAS,1992,70,37:12:00,6.44,13.11,0.53,1.49,3.83,4.8,1.21,3.39,4.6,3.79,0.97,0.4,2.17,1.89,17.24,0.491,0.356,0.798
Shawn,Kemp,SEA,1992,78,33:06:00,6.6,13.42,0,0.05,4.59,6.45,3.68,7,10.68,1.99,1.53,1.87,2.78,4.19,17.79,0.492,0,0.712
Michael,Jordan,CHI,1992,78,39:19:00,12.72,25.68,1.04,2.95,6.1,7.29,1.73,4.96,6.69,5.49,2.83,0.78,2.65,2.41,32.58,0.495,0.352,0.837
Isiah,Thomas,DET,1992,79,36:59:00,6.66,15.92,0.77,2.51,3.52,4.77,0.9,2.04,2.94,8.49,1.56,0.23,3.59,2.81,17.61,0.418,0.308,0.737
Scottie,Pippen,CHI,1992,81,38:33:00,7.75,16.38,0.27,1.15,2.86,4.32,2.51,5.16,7.67,6.26,2.14,0.89,3.04,2.7,18.64,0.473,0.237,0.663
Shaquille,O'Neal,ORL,1992,81,37:54:00,9.05,16.1,0,0.02,5.27,8.9,4.22,9.63,13.85,1.88,0.74,3.53,3.79,3.96,23.37,0.562,0,0.592
Larry,Johnson,CHH,1992,82,40:31:00,8.88,16.89,0.22,0.87,4.1,5.34,3.43,7.11,10.54,4.3,0.65,0.33,2.77,2.28,22.07,0.526,0.254,0.767
Patrick,Ewing,NYK,1992,81,37:04:00,9.62,19.14,0.01,0.09,4.94,6.86,2.36,9.74,12.1,1.86,0.91,1.99,3.27,3.53,24.19,0.503,0.143,0.719
Mark,Price,CLE,1992,75,31:44:00,6.36,13.15,1.63,3.91,3.85,4.07,0.49,2.19,2.68,8.03,1.19,0.15,2.61,1.4,18.2,0.484,0.416,0.948
Brad,Daugherty,CLE,1992,71,37:54:00,7.32,12.83,0.01,0.03,5.51,6.93,2.31,7.92,10.23,4.39,0.75,0.79,2.11,2.45,20.17,0.571,0.5,0.795
Dominique,Wilkins,ATL,1992,71,37:16:00,10.44,22.31,1.69,4.45,7.31,8.83,2.63,4.15,6.79,3.2,0.99,0.38,2.59,1.63,29.87,0.468,0.38,0.828
Joe,Dumars,DET,1992,77,40:10:00,8.79,18.88,1.45,3.88,4.45,5.16,0.82,1.1,1.92,4,1.01,0.09,1.79,1.83,23.49,0.466,0.375,0.864
Detlef,Schrempf,IND,1992,82,37:46:00,6.3,13.23,0.1,0.63,6.4,7.96,2.56,6.95,9.51,6.01,0.96,0.33,2.96,3.72,19.11,0.476,0.154,0.804
Larry,Nance,CLE,1992,77,35:45:00,6.92,12.61,0,0.05,2.62,3.21,2.39,6.29,8.68,2.9,0.7,2.57,1.39,2.9,16.47,0.549,0,0.818
Scottie,Pippen,CHI,1993,72,38:19:00,8.71,17.75,0.88,2.74,3.75,5.68,2.4,6.33,8.74,5.6,2.93,0.81,3.22,3.15,22.04,0.491,0.32,0.66
Shaquille,O'Neal,ORL,1993,81,39:48:00,11.77,19.64,0,0.02,5.81,10.49,4.74,8.49,13.23,2.41,0.94,2.85,2.74,3.47,29.35,0.599,0,0.554
B.J.,Armstrong,CHI,1993,82,33:46:00,5.84,12.28,0.73,1.65,2.37,2.77,0.34,1.73,2.07,3.94,0.98,0.11,1.6,1.79,14.78,0.476,0.444,0.855
Derrick,Coleman,NJN,1993,77,36:04:00,7.03,15.7,0.49,1.57,5.7,7.36,3.4,7.9,11.3,3.4,0.88,1.84,2.7,2.71,20.25,0.447,0.314,0.774
Kenny,Anderson,NJN,1993,82,38:13:00,7.02,16.84,0.49,1.61,4.22,5.16,1.09,2.84,3.93,9.56,1.93,0.18,3.24,2.45,18.76,0.417,0.303,0.818
Patrick,Ewing,NYK,1993,79,37:37:00,9.43,19.03,0.05,0.18,5.63,7.37,2.77,8.43,11.2,2.27,1.14,2.75,3.29,3.48,24.54,0.496,0.286,0.765
Mark,Price,CLE,1993,76,31:23:00,6.32,13.22,1.55,3.91,3.13,3.53,0.51,2.49,3,7.75,1.36,0.14,2.49,1.22,17.32,0.478,0.397,0.888
John,Starks,NYK,1993,59,34:51:00,6.95,16.56,1.92,5.71,3.17,4.2,0.63,2.51,3.14,5.9,1.61,0.1,3.12,3.24,18.98,0.42,0.335,0.754
Dominique,Wilkins,ATL,1993,74,35:36:00,9.43,21.46,1.15,3.99,5.97,7.05,2.46,4.04,6.5,2.28,1.24,0.41,2.32,1.7,25.99,0.44,0.288,0.847
Horace,Grant,CHI,1993,70,36:42:00,6.57,12.54,0,0.09,1.96,3.29,4.37,6.61,10.99,3.37,1.06,1.2,1.56,2.34,15.1,0.524,0,0.596
Mookie,Blaylock,ATL,1993,81,35:59:00,5.48,13.32,1.41,4.21,1.43,1.96,1.44,3.79,5.23,9.74,2.62,0.54,2.42,1.78,13.8,0.411,0.334,0.73
Charles,Oakley,NYK,1993,82,35:45:00,4.43,9.27,0,0.04,2.96,3.82,4.26,7.51,11.77,2.66,1.34,0.22,2.35,3.57,11.82,0.478,0,0.776
Hakeem,Olajuwon,HOU,1993,80,40:57:00,11.18,21.18,0.1,0.24,4.85,6.78,2.86,9.08,11.94,3.59,1.6,3.71,3.39,3.61,27.3,0.528,0.421,0.716
Mitch,Richmond,SAC,1993,78,37:08:00,8.14,18.31,1.63,4,5.46,6.55,0.9,2.77,3.67,4.01,1.32,0.22,2.77,2.71,23.37,0.445,0.407,0.834
Shawn,Kemp,SEA,1993,79,32:52:00,6.75,12.53,0.01,0.05,4.61,6.22,3.95,6.82,10.77,2.62,1.8,2.1,3.28,3.95,18.11,0.538,0.25,0.741
Karl,Malone,UTA,1993,82,40:35:00,9.41,18.93,0.1,0.39,6.23,8.98,2.87,8.6,11.46,4,1.52,1.54,2.85,3.27,25.16,0.497,0.25,0.694
Clyde,Drexler,POR,1993,68,34:19:00,6.96,16.25,1.04,3.22,4.21,5.41,2.26,4.28,6.54,4.9,1.44,0.5,2.46,2.97,19.16,0.428,0.324,0.777
John,Stockton,UTA,1993,82,36:12:00,5.59,10.59,0.59,1.82,3.32,4.12,0.88,2.27,3.15,12.57,2.43,0.27,3.24,2.88,15.07,0.528,0.322,0.805
David,Robinson,SAS,1993,80,40:30:00,10.5,20.73,0.13,0.36,8.66,11.56,3.01,7.68,10.69,4.76,1.74,3.31,3.16,2.85,29.79,0.507,0.345,0.749
Clifford,Robinson,POR,1993,82,34:47:00,7.82,17.12,0.16,0.65,4.29,5.61,2,4.71,6.71,1.94,1.44,1.35,2.06,3.21,20.09,0.457,0.245,0.765
Danny,Manning,LAC,1993,68,37:03:00,8.62,17.66,0.04,0.25,3.35,5.01,1.93,4.91,6.84,3.84,1.46,1.21,3.43,3.82,20.63,0.488,0.176,0.669
Gary,Payton,SEA,1993,82,35:08:00,7.12,14.13,0.18,0.66,2.02,3.4,1.28,2,3.28,6.02,2.29,0.23,2.11,2.77,16.45,0.504,0.278,0.595
Latrell,Sprewell,GSW,1993,82,43:05:00,7.48,17.28,1.72,4.77,4.3,5.56,0.98,3.91,4.89,4.7,2.2,0.93,2.76,1.93,20.98,0.433,0.361,0.774
Kevin,Johnson,PHO,1993,67,36:33:00,7.12,14.63,0.09,0.4,5.67,6.93,0.82,1.67,2.49,9.51,1.87,0.15,3.51,1.9,20,0.487,0.222,0.819
Hakeem,Olajuwon,HOU,1994,72,39:37:00,11.08,21.46,0.04,0.22,5.64,7.46,2.39,8.38,10.76,3.54,1.85,3.36,3.29,3.47,27.85,0.517,0.188,0.756
Charles,Barkley,PHO,1994,68,35:01:00,8.15,16.78,1.09,3.22,5.57,7.46,2.99,8.13,11.12,4.06,1.62,0.66,2.21,2.96,22.96,0.486,0.338,0.748
Shawn,Kemp,SEA,1994,82,32:40:00,6.65,12.16,0.02,0.09,5.34,7.13,3.88,7.01,10.89,1.82,1.24,1.49,3.16,4.11,18.66,0.547,0.286,0.749
Latrell,Sprewell,GSW,1994,69,40:09:00,7.1,16.97,1.3,4.72,5.07,6.49,0.84,2.87,3.71,4.04,1.62,0.67,3.33,1.57,20.58,0.418,0.276,0.781
Dan,Majerle,PHO,1994,82,37:41:00,5.34,12.57,2.43,6.68,2.51,3.44,1.27,3.3,4.57,4.15,1.17,0.46,1.28,1.89,15.62,0.425,0.363,0.73
Gary,Payton,SEA,1994,82,36:46:00,8.35,16.4,0.85,2.83,3.04,4.24,1.32,2.11,3.43,7.11,2.49,0.16,2.45,2.51,20.6,0.509,0.302,0.716
Mitch,Richmond,SAC,1994,82,38:40:00,8.15,18.26,1.9,5.17,4.57,5.43,0.84,3.51,4.35,3.79,1.11,0.35,2.85,2.77,22.77,0.446,0.368,0.843
Dikembe,Mutombo,DEN,1994,82,37:48:00,4.26,7.66,0,0,3.02,4.62,3.89,8.66,12.55,1.38,0.49,3.91,2.34,3.46,11.54,0.556,0,0.654
Detlef,Schrempf,SEA,1994,82,35:11:00,6.35,12.16,1.13,2.21,5.33,6.35,1.65,4.55,6.2,3.78,1.13,0.43,2.15,3.07,19.17,0.523,0.514,0.839
Karl,Malone,UTA,1994,82,38:07:00,10.12,18.88,0.13,0.5,6.29,8.48,1.9,8.72,10.62,3.48,1.57,1.04,2.88,3.28,26.67,0.536,0.268,0.742
David,Robinson,SAS,1994,81,37:57:00,9.73,18.36,0.07,0.25,8.1,10.46,2.89,7.94,10.83,2.91,1.65,3.23,2.88,2.84,27.63,0.53,0.3,0.774
John,Stockton,UTA,1994,82,34:57:00,5.23,9.65,1.24,2.77,3,3.73,0.7,2.37,3.06,12.33,2.37,0.27,3.26,2.62,14.71,0.542,0.449,0.804
Anfernee,Hardaway,ORL,1994,77,37:40:00,7.6,14.83,1.13,3.23,4.62,6.01,1.81,2.56,4.36,7.16,1.69,0.34,3.35,2.05,20.95,0.512,0.349,0.769
Scottie,Pippen,CHI,1994,79,38:09:00,8.03,16.71,1.38,4,3.99,5.57,2.22,5.87,8.09,5.18,2.94,1.13,3.43,3.01,21.42,0.48,0.345,0.716
Shaquille,O'Neal,ORL,1994,79,37:00:00,11.77,20.18,0,0.06,5.76,10.81,4.15,7.25,11.41,2.71,0.92,2.43,2.58,3.27,29.3,0.583,0,0.533
Reggie,Miller,IND,1994,81,32:54:00,6.23,13.48,2.41,5.8,4.73,5.27,0.37,2.22,2.59,2.99,1.21,0.2,1.86,1.94,19.6,0.462,0.415,0.897
Grant,Hill,DET,1994,70,38:15:00,7.26,15.2,0.06,0.39,5.34,7.3,1.79,4.57,6.36,5.04,1.77,0.89,2.89,2.9,19.91,0.477,0.148,0.732
Patrick,Ewing,NYK,1994,79,36:57:00,9.24,18.38,0.08,0.27,5.32,7.09,1.99,8.99,10.97,2.68,0.86,2.01,3.24,3.44,23.87,0.503,0.286,0.75
Joe,Dumars,DET,1994,67,37:58:00,6.22,14.48,1.54,5.04,4.13,5.13,0.7,1.66,2.36,5.49,1.07,0.1,3.27,2.28,18.12,0.43,0.305,0.805
Larry,Johnson,CHH,1994,81,39:55:00,7.22,15.05,1,2.59,3.38,4.37,2.35,4.88,7.22,4.56,0.96,0.35,2.56,2.15,18.83,0.48,0.386,0.774
Alonzo,Mourning,CHH,1994,77,38:11:00,7.42,14.3,0.14,0.44,6.36,8.36,2.6,7.29,9.88,1.44,0.64,2.92,3.13,3.57,21.34,0.519,0.324,0.761
Dana,Barros,PHI,1994,82,40:27:00,6.96,14.21,2.4,5.18,4.23,4.71,0.33,3.01,3.34,7.55,1.82,0.05,2.95,1.94,20.56,0.49,0.464,0.899
Vin,Baker,MIL,1994,82,40:59:00,7.24,14.99,0.09,0.29,3.12,5.27,3.52,6.79,10.32,3.61,1.05,1.41,2.7,3.38,17.7,0.483,0.292,0.593
Tyrone,Hill,CLE,1994,70,34:14:00,5,9.91,0,0.01,3.76,5.67,3.84,7.09,10.93,0.79,0.79,0.59,2.16,3.5,13.76,0.504,0,0.662
Anfernee,Hardaway,ORL,1995,82,36:46:00,7.6,14.82,1.09,3.45,5.43,7.07,1.57,2.74,4.32,7.1,2.02,0.5,2.79,1.95,21.71,0.513,0.314,0.767
Shaquille,O'Neal,ORL,1995,54,36:02:00,10.96,19.13,0.02,0.04,4.61,9.46,3.37,7.67,11.04,2.87,0.63,2.13,2.87,3.57,26.56,0.573,0.5,0.487
Grant,Hill,DET,1995,80,40:45:00,7.05,15.26,0.06,0.33,6.06,8.08,1.59,8.2,9.79,6.85,1.25,0.6,3.29,3.03,20.23,0.462,0.192,0.751
Scottie,Pippen,CHI,1995,77,36:41:00,7.31,15.79,1.95,5.21,2.86,4.21,1.97,4.47,6.44,5.87,1.73,0.74,2.69,2.57,19.43,0.463,0.374,0.679
Michael,Jordan,CHI,1995,82,37:40:00,11.17,22.56,1.35,3.17,6.68,8.01,1.8,4.82,6.62,4.29,2.2,0.51,2.4,2.38,30.38,0.495,0.427,0.834
Terrell,Brandon,CLE,1995,75,34:16:00,6.8,14.61,1.21,3.13,4.51,5.08,0.63,2.68,3.31,6.49,1.76,0.44,1.89,1.95,19.32,0.465,0.387,0.887
Reggie,Miller,IND,1995,76,34:29:00,6.63,14.03,2.21,5.39,5.66,6.55,0.5,2.32,2.82,3.33,1.01,0.17,2.49,2.3,21.13,0.473,0.41,0.863
Juwan,Howard,WSB,1995,81,40:40:00,9.05,18.52,0.05,0.16,3.94,5.26,2.32,5.83,8.15,4.44,0.83,0.48,3.74,3.32,22.09,0.489,0.308,0.749
Glen,Rice,CHH,1995,79,39:46:00,7.72,16.41,2.16,5.1,4.04,4.82,1.09,3.7,4.78,2.94,1.15,0.24,2.06,2.75,21.65,0.471,0.424,0.837
Vin,Baker,MIL,1995,82,40:28:00,8.52,17.43,0.12,0.59,3.91,5.84,3.21,6.65,9.85,2.59,0.83,1.11,2.63,3.32,21.09,0.489,0.208,0.67
Alonzo,Mourning,MIA,1995,70,38:09:00,8.04,15.37,0.13,0.43,6.97,10.17,3.11,7.27,10.39,2.27,1,2.7,3.74,3.5,23.19,0.523,0.3,0.685
Patrick,Ewing,NYK,1995,76,36:37:00,8.92,19.16,0.05,0.37,4.62,6.07,2.07,8.54,10.61,2.11,0.89,2.42,2.91,3.25,22.51,0.466,0.143,0.761
Shawn,Kemp,SEA,1995,79,33:18:00,6.66,11.86,0.06,0.15,6.24,8.41,3.49,7.95,11.44,2.19,1.18,1.61,3.99,3.78,19.62,0.561,0.417,0.742
Jason,Kidd,DAL,1995,81,37:27:00,6.09,15.96,1.64,4.89,2.83,4.09,2.51,4.32,6.83,9.67,2.16,0.32,4.05,1.91,16.64,0.381,0.336,0.692
Clyde,Drexler,HOU,1995,52,38:24:00,6.37,14.69,1.5,4.52,5.1,6.5,1.87,5.31,7.17,5.81,2.02,0.46,2.58,2.94,19.33,0.433,0.332,0.784
Charles,Barkley,PHO,1995,71,37:04:00,8.17,16.34,0.69,2.46,6.2,7.97,3.42,8.14,11.56,3.69,1.61,0.79,3.07,2.93,23.23,0.5,0.28,0.777
Hakeem,Olajuwon,HOU,1995,72,38:50:00,10.67,20.75,0.04,0.19,5.51,7.61,2.44,8.44,10.89,3.57,1.57,2.88,3.43,3.36,26.89,0.514,0.214,0.724
Gary,Payton,SEA,1995,81,39:02:00,7.63,15.75,1.21,3.69,2.83,3.78,1.28,2.9,4.19,7.51,2.85,0.23,3.21,2.73,19.3,0.484,0.328,0.748
Mitch,Richmond,SAC,1995,81,36:22:00,7.54,16.89,2.78,6.36,5.25,6.06,0.67,2.65,3.32,3.15,1.54,0.23,2.72,2.88,23.11,0.447,0.437,0.866
David,Robinson,SAS,1995,82,36:49:00,8.67,16.8,0.04,0.11,7.63,10.04,3.89,8.3,12.2,3.01,1.35,3.3,2.32,3.2,25.01,0.516,0.333,0.761
Sean,Elliott,SAS,1995,77,37:40:00,6.82,14.64,2.09,5.09,4.23,5.49,0.9,4.25,5.14,2.74,0.9,0.43,2.57,2.31,19.96,0.466,0.411,0.771
Karl,Malone,UTA,1995,82,37:57:00,9.62,18.54,0.2,0.49,6.24,8.63,2.13,7.67,9.8,4.21,1.68,0.68,2.43,2.99,25.68,0.519,0.4,0.723
John,Stockton,UTA,1995,82,35:32:00,5.37,9.98,1.16,2.74,2.85,3.44,0.66,2.1,2.76,11.17,1.71,0.18,3,2.52,14.74,0.538,0.422,0.83
Dikembe,Mutombo,DEN,1995,74,36:39:00,3.84,7.69,0,0.01,3.32,4.78,3.36,8.41,11.77,1.46,0.51,4.49,2.03,3.49,11,0.499,0,0.695
Michael,Jordan,CHI,1996,82,37:54:00,11.22,23.07,1.35,3.62,5.85,7.02,1.38,4.5,5.88,4.29,1.71,0.54,2.02,1.9,29.65,0.486,0.374,0.833
Scottie,Pippen,CHI,1996,82,37:44:00,7.9,16.66,1.9,5.17,2.49,3.55,1.95,4.52,6.48,5.7,1.88,0.55,2.61,2.6,20.2,0.474,0.368,0.701
Anfernee,Hardaway,ORL,1996,59,37:38:00,7.14,15.95,1.44,4.53,4.8,5.85,1.39,3.07,4.46,5.63,1.58,0.59,2.46,2.08,20.51,0.447,0.318,0.82
Grant,Hill,DET,1996,80,39:21:00,7.81,15.74,0.13,0.41,5.63,7.91,1.54,7.48,9.01,7.29,1.8,0.6,3.24,2.33,21.38,0.496,0.303,0.711
Dikembe,Mutombo,ATL,1996,80,37:11:00,4.75,9.01,0,0,3.83,5.43,3.35,8.26,11.61,1.38,0.61,3.3,2.33,3.11,13.33,0.527,0,0.705
Glen,Rice,CHH,1996,79,42:31:00,9.14,19.15,2.62,5.57,5.87,6.77,0.85,3.18,4.03,2.03,0.91,0.33,2.24,2.41,26.77,0.477,0.47,0.867
Vin,Baker,MIL,1996,78,40:28:00,8.1,16.04,0.19,0.69,4.59,6.68,3.42,6.88,10.31,2.71,1.04,1.44,3.14,3.53,20.99,0.505,0.278,0.687
Christian,Laettner,ATL,1996,82,38:14:00,6.68,13.76,0.38,1.07,4.38,5.37,2.59,6.2,8.78,2.72,1.24,0.78,2.66,3.38,18.12,0.486,0.352,0.816
Terrell,Brandon,CLE,1996,78,36:45:00,7.37,16.83,1.29,3.47,3.44,3.81,0.62,3.24,3.86,6.28,1.77,0.38,2.28,2.27,19.47,0.438,0.373,0.902
Tim,Hardaway,MIA,1996,81,38:44:00,7.1,17.09,2.51,7.28,3.59,4.49,0.6,2.81,3.42,8.58,1.86,0.11,2.84,2.04,20.3,0.415,0.344,0.799
Chris,Webber,WSB,1996,72,39:00:00,8.39,16.21,0.83,2.1,2.46,4.35,3.31,7.01,10.32,4.6,1.69,1.9,3.19,3.58,20.07,0.518,0.397,0.565
Joe,Dumars,DET,1996,79,37:01:00,4.87,11.08,2.1,4.86,2.82,3.27,0.48,1.94,2.42,4.03,0.72,0.01,1.62,1.23,14.67,0.44,0.432,0.864
Gary,Payton,SEA,1996,82,39:11:00,8.61,18.07,1.45,4.63,3.1,4.33,1.29,3.32,4.61,7.11,2.4,0.16,2.62,2.54,21.77,0.476,0.313,0.715
John,Stockton,UTA,1996,82,35:17:00,5.07,9.26,0.93,2.2,3.35,3.96,0.55,2.23,2.78,10.49,2.02,0.18,3.02,2.37,14.43,0.548,0.422,0.846
Hakeem,Olajuwon,HOU,1996,78,36:34:00,9.32,18.28,0.06,0.21,4.5,5.72,2.22,6.96,9.18,3.03,1.5,2.22,3.6,3.19,23.21,0.51,0.313,0.787
Karl,Malone,UTA,1996,82,36:34:00,10.54,19.16,0,0.16,6.35,8.41,2.35,7.51,9.87,4.49,1.38,0.59,2.84,2.65,27.43,0.55,0,0.755
Shawn,Kemp,SEA,1996,81,33:56:00,6.49,12.74,0.15,0.41,5.58,7.52,3.4,6.57,9.96,1.93,1.54,1,3.46,3.95,18.72,0.51,0.364,0.742
Latrell,Sprewell,GSW,1996,80,41:52:00,8.11,18.05,1.84,5.19,6.16,7.31,0.73,3.85,4.58,6.34,1.65,0.56,4.03,1.91,24.23,0.449,0.354,0.843
Mitch,Richmond,SAC,1996,81,37:48:00,8.85,19.48,2.52,5.89,5.64,6.56,0.73,3.21,3.94,4.17,1.46,0.3,2.93,2.6,25.86,0.454,0.428,0.861
Detlef,Schrempf,SEA,1996,61,35:55:00,5.84,11.87,0.93,2.64,4.15,5.18,1.43,5.03,6.46,4.36,1.03,0.26,2.46,2.48,16.75,0.492,0.354,0.801
Tom,Gugliotta,MIN,1996,81,38:38:00,7.31,16.53,0.3,1.15,5.73,6.99,2.31,6.36,8.67,4.14,1.6,1.1,3.62,2.93,20.64,0.442,0.258,0.82
Kevin,Garnett,MIN,1996,77,38:49:00,7.13,14.29,0.08,0.27,2.66,3.53,2.47,5.56,8.03,3.06,1.36,2.12,2.27,2.58,17,0.499,0.286,0.754
Eddie,Jones,LAL,1996,80,37:31:00,5.91,13.51,1.9,4.86,3.45,4.21,1.13,2.95,4.08,3.38,2.36,0.61,2.11,2.83,17.18,0.438,0.391,0.819
Chris,Gatling,DAL,1996,47,27:14:00,6.96,13.26,0.02,0.13,5.02,7,2.85,5.02,7.87,0.6,0.83,0.66,2.55,2.94,18.96,0.525,0.167,0.717
Michael,Jordan,CHI,1997,82,38:48:00,10.74,23.09,0.37,1.54,6.89,8.79,1.59,4.21,5.79,3.45,1.72,0.55,2.26,1.84,28.74,0.465,0.238,0.784
Grant,Hill,DET,1997,81,40:50:00,7.59,16.8,0.04,0.26,5.91,7.99,1.15,6.54,7.69,6.8,1.77,0.65,3.52,2.42,21.14,0.452,0.143,0.74
Shawn,Kemp,CLE,1997,80,34:33:00,6.48,14.55,0.03,0.1,5.05,6.95,2.74,6.58,9.31,2.46,1.35,1.13,3.39,3.88,18.03,0.445,0.25,0.727
Dikembe,Mutombo,ATL,1997,82,35:34:00,4.87,9.06,0,0,3.7,5.51,3.37,8,11.37,1,0.41,3.38,2.05,3.1,13.43,0.537,0,0.67
Anfernee,Hardaway,ORL,1997,19,32:56:00,5.42,14.37,0.79,2.63,4.74,6.21,0.42,3.58,4,3.58,1.47,0.79,2.42,2.37,16.37,0.377,0.3,0.763
Rik,Smits,IND,1997,73,28:32:00,7.04,14.22,0,0.04,2.58,3.29,1.74,5.18,6.92,1.38,0.55,1.21,1.84,3.33,16.66,0.495,0,0.783
Reggie,Miller,IND,1997,81,34:31:00,6.37,13.35,2.02,4.72,4.72,5.43,0.57,2.3,2.86,2.11,0.96,0.14,1.58,1.83,19.48,0.477,0.429,0.868
Jayson,Williams,NJN,1997,65,36:01:00,4.94,9.92,0,0.06,3,4.51,6.82,6.77,13.58,1.03,0.69,0.75,1.46,3.63,12.88,0.498,0,0.666
Tim,Hardaway,MIA,1997,81,37:26:00,6.89,16,1.91,5.46,3.17,4.06,0.59,3.1,3.69,8.3,1.68,0.2,2.77,2.47,18.86,0.431,0.351,0.781
Glen,Rice,CHH,1997,82,40:09:00,7.73,16.9,1.59,3.66,5.22,6.15,1.09,3.22,4.3,2.22,0.94,0.27,2.22,2.44,22.27,0.457,0.433,0.849
Steve,Smith,ATL,1997,73,39:06:00,6.7,15.08,1.33,3.78,5.33,6.23,1.82,2.41,4.23,4,1.03,0.4,2.41,3,20.05,0.444,0.351,0.855
Antoine,Walker,BOS,1997,82,39:53:00,8.8,20.79,1.11,3.56,3.72,5.77,3.29,6.9,10.2,3.33,1.73,0.73,3.56,3.2,22.44,0.423,0.312,0.645
Gary,Payton,SEA,1997,82,38:22:00,7.06,15.59,1.63,4.84,3.4,4.57,0.94,3.65,4.59,8.28,2.26,0.22,2.79,2.38,19.16,0.453,0.338,0.744
Kobe,Bryant,LAL,1997,79,26:02:00,4.95,11.56,0.95,2.78,4.59,5.78,1,2.06,3.06,2.52,0.94,0.51,1.99,2.28,15.44,0.428,0.341,0.794
Kevin,Garnett,MIN,1997,82,39:15:00,7.74,15.77,0.04,0.2,2.99,4.05,2.71,6.88,9.59,4.24,1.7,1.83,2.34,2.73,18.51,0.491,0.187,0.738
Shaquille,O'Neal,LAL,1997,60,36:12:00,11.17,19.12,0,0,5.98,11.35,3.47,7.88,11.35,2.37,0.65,2.4,2.92,3.22,28.32,0.584,0,0.527
Karl,Malone,UTA,1997,81,37:25:00,9.63,18.17,0.02,0.07,7.75,10.19,2.33,7.96,10.3,3.9,1.19,0.86,3.05,2.93,27.04,0.53,0.333,0.761
Eddie,Jones,LAL,1997,80,36:23:00,6.08,12.56,1.79,4.6,2.93,3.83,1.06,2.71,3.78,3.08,2,0.69,1.83,2.05,16.86,0.484,0.389,0.765
David,Robinson,SAS,1997,73,33:39:00,7.45,14.59,0.01,0.05,6.64,9.04,3.27,7.34,10.62,2.73,0.88,2.63,2.77,2.79,21.56,0.511,0.25,0.735
Vin,Baker,SEA,1997,82,35:56:00,7.7,14.2,0.01,0.09,3.79,6.41,3.49,4.51,8,1.85,1.11,1.05,2.12,3.39,19.2,0.542,0.143,0.591
Nick,Van Exel,LAL,1997,64,32:01:00,4.86,11.61,1.92,4.94,2.13,2.69,0.48,2.55,3.03,6.91,1,0.09,1.63,1.88,13.77,0.419,0.389,0.791
Jason,Kidd,PHO,1997,82,38:01:00,4.35,10.48,0.89,2.84,2.04,2.55,1.32,4.9,6.22,9.09,1.98,0.32,3.18,1.73,11.63,0.416,0.313,0.799
Mitch,Richmond,SAC,1997,70,36:42:00,7.76,17.43,1.86,4.77,5.81,6.73,0.71,2.56,3.27,3.99,1.26,0.21,2.59,2.2,23.19,0.445,0.389,0.864
Tim,Duncan,SAS,1997,82,39:05:00,8.61,15.7,0,0.12,3.89,5.88,3.34,8.57,11.91,2.73,0.67,2.51,3.4,3.1,21.11,0.549,0,0.662
Kevin,Garnett,MIN,1999,81,40:02:00,9.37,18.84,0.37,1,3.81,4.99,2.75,9.05,11.8,4.95,1.48,1.56,3.31,2.53,22.93,0.497,0.37,0.765
Jason,Kidd,PHO,1999,67,39:01:00,5.22,12.76,0.84,2.48,3.03,3.66,1.43,5.78,7.21,10.12,2,0.42,3.37,2.21,14.31,0.409,0.337,0.829
Tim,Duncan,SAS,1999,74,38:53:00,8.49,17.31,0.01,0.15,6.2,8.15,3.54,8.86,12.41,3.16,0.89,2.23,3.27,2.84,23.19,0.49,0.091,0.761
Kobe,Bryant,LAL,1999,66,38:13:00,8.39,17.92,0.7,2.18,5.02,6.11,1.64,4.67,6.3,4.89,1.61,0.94,2.76,3.33,22.5,0.468,0.319,0.821
Shaquille,O'Neal,LAL,1999,79,40:03:00,12.1,21.08,0,0.01,5.47,10.43,4.25,9.39,13.65,3.78,0.46,3.03,2.82,3.23,29.67,0.574,0,0.524
Rasheed,Wallace,POR,1999,81,35:08:00,6.69,12.9,0.1,0.62,2.88,4.09,1.59,5.4,6.99,1.75,1.07,1.32,1.94,2.67,16.36,0.519,0.16,0.704
Gary,Payton,SEA,1999,82,41:45:00,9.11,20.32,2.16,6.34,3.79,5.16,1.22,5.23,6.45,8.93,1.87,0.22,2.73,2.17,24.17,0.448,0.34,0.735
